Date (Tarih) ,Temperature (Sıcaklık) (°C) ,Dew Point (Çiğ Noktası) (°C) ,Humidity (Nem) % ,Wind Speed (Rüzgar Hızı) (mph) ,Pressure (Basınç) (in) ,Wind (Rüzgar Yönü) ,Condition (Durum)
2011-01-30   ,2.84                        ,-3.2                         ,           83.11 ,                         13.0  ,                 29.71 ,Kuzey              ,Çoğunlukla Bulutlu
2011-01-31   ,1.68                        ,-3.15                        ,           70.44 ,                          7.02 ,                 29.8  ,Kuzey              ,Çoğunlukla Bulutlu
2011-02-01   ,1.63                        ,-7.97                        ,           78.65 ,                          6.52 ,                 29.88 ,Kuzey              ,Çoğunlukla Bulutlu
2011-02-02   ,2.35                        ,-3.55                        ,           79.89 ,                          2.64 ,                 29.87 ,Rüzgarsız          ,Açık
2011-02-03   ,2.45                        ,-7.58                        ,           76.34 ,                         10.49 ,                 29.81 ,Kuzeydoğu-Kuzey    ,Açık
2011-02-04   ,4.95                        ,-10.07                       ,           68.62 ,                         12.71 ,                 29.86 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-02-05   ,5.0                         ,-2.81                        ,           70.35 ,                          6.04 ,                 29.92 ,Kuzeydoğu-Kuzey    ,Açık
2011-02-06   ,8.24                        ,-3.18                        ,           60.23 ,                          6.47 ,                 29.84 ,Batı-Güneybatı     ,Açık
2011-02-07   ,7.67                        ,1.69                         ,           69.23 ,                          4.06 ,                 29.85 ,Değişken           ,Açık
2011-02-08   ,7.47                        ,1.09                         ,           72.81 ,                          2.43 ,                 29.79 ,Rüzgarsız          ,Açık
2011-02-09   ,7.69                        ,2.54                         ,           71.33 ,                          7.07 ,                 29.7  ,Kuzeydoğu-Kuzey    ,Açık
2011-02-10   ,3.87                        ,-4.48                        ,           75.96 ,                          7.77 ,                 29.8  ,Kuzeydoğu          ,Açık
2011-02-11   ,4.07                        ,-5.56                        ,           59.4  ,                          4.27 ,                 29.83 ,Kuzeydoğu          ,Açık
2011-02-12   ,10.31                       ,-1.3                         ,           50.72 ,                         18.37 ,                 29.55 ,Güneybatı          ,Açık
2011-02-13   ,5.58                        ,-2.65                        ,           63.65 ,                          8.38 ,                 29.73 ,Kuzey              ,Açık
2011-02-14   ,5.24                        ,-3.63                        ,           58.08 ,                          6.79 ,                 29.59 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-15   ,3.88                        ,-5.96                        ,           77.19 ,                         12.06 ,                 29.55 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-16   ,2.66                        ,-2.43                        ,           70.15 ,                         10.71 ,                 29.71 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-17   ,5.63                        ,-3.32                        ,           58.42 ,                          3.76 ,                 29.72 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-18   ,11.55                       ,3.85                         ,           61.53 ,                          6.13 ,                 29.58 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-19   ,10.82                       ,5.71                         ,           71.79 ,                         11.09 ,                 29.23 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-20   ,5.49                        ,2.14                         ,           87.92 ,                         12.62 ,                 29.47 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-21   ,4.65                        ,-9.05                        ,           73.04 ,                          7.38 ,                 29.67 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-22   ,6.14                        ,2.09                         ,           83.94 ,                          8.55 ,                 29.51 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-23   ,7.55                        ,6.49                         ,           92.56 ,                         12.23 ,                 29.53 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-24   ,6.88                        ,5.92                         ,           93.89 ,                         13.83 ,                 29.64 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-25   ,6.78                        ,5.8                          ,           93.53 ,                         14.87 ,                 29.6  ,Kuzeydoğu-Kuzey    ,Bulutlu
2011-02-26   ,2.72                        ,-0.16                        ,           92.0  ,                         17.29 ,                 29.73 ,Kuzeydoğu-Kuzey    ,Bulutlu
2011-02-27   ,2.39                        ,1.16                         ,           91.33 ,                         14.09 ,                 29.73 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-02-28   ,3.87                        ,-2.22                        ,           83.7  ,                         12.74 ,                 29.83 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-03-01   ,2.94                        ,-11.48                       ,           83.0  ,                         13.52 ,                 30.01 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-03-02   ,3.9                         ,-1.92                        ,           81.96 ,                         13.42 ,                 30.1  ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-03-03   ,4.88                        ,-10.16                       ,           68.52 ,                         15.62 ,                 30.07 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-03-04   ,4.26                        ,-7.09                        ,           73.15 ,                         11.13 ,                 30.06 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-03-05   ,3.76                        ,-4.15                        ,           71.0  ,                          7.48 ,                 29.85 ,Kuzeydoğu-Kuzey    ,Açık
2011-03-06   ,3.97                        ,-2.8                         ,           84.62 ,                          6.71 ,                 29.51 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-03-07   ,4.04                        ,-5.26                        ,           67.77 ,                         18.21 ,                 29.69 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-03-08   ,1.78                        ,-7.33                        ,           81.25 ,                         23.46 ,                 29.15 ,Kuzeydoğu-Kuzey    ,29.81
2011-03-09   ,0.69                        ,-11.6                        ,           92.79 ,                         18.69 ,                 29.66 ,Kuzey              ,Çoğunlukla Bulutlu
2011-03-10   ,0.51                        ,-1.85                        ,           88.25 ,                          8.56 ,                 29.76 ,Kuzeybatı          ,Çoğunlukla Bulutlu
2011-03-11   ,3.44                        ,-8.52                        ,           75.83 ,                          5.54 ,                 29.85 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2011-03-12   ,6.02                        ,-2.97                        ,           56.88 ,                          2.5  ,                 29.97 ,Rüzgarsız          ,Açık
2011-03-13   ,9.02                        ,-4.77                        ,           50.31 ,                          4.02 ,                 29.99 ,Değişken           ,Açık
2011-03-14   ,12.09                       ,-5.65                        ,           45.92 ,                          3.83 ,                 29.96 ,Değişken           ,Açık
2011-03-15   ,12.84                       ,2.23                         ,           53.88 ,                          3.62 ,                 29.92 ,Batı-Güneybatı     ,Açık
2011-03-16   ,13.64                       ,3.32                         ,           53.23 ,                          4.7  ,                 29.86 ,Değişken           ,Açık
2011-03-17   ,13.51                       ,1.31                         ,           52.04 ,                          4.34 ,                 29.74 ,Değişken           ,Açık
2011-03-18   ,12.22                       ,7.41                         ,           73.67 ,                          6.67 ,                 29.7  ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2011-04-20   ,8.53                        ,5.39                         ,           80.45 ,                         11.05 ,                 29.68 ,Kuzey              ,Çoğunlukla Bulutlu
2011-04-21   ,8.91                        ,0.03                         ,           62.92 ,                         13.25 ,                 29.82 ,Kuzeydoğu          ,Açık
2011-04-22   ,8.25                        ,2.33                         ,           70.22 ,                         12.39 ,                 29.73 ,Kuzeydoğu-Kuzey    ,Açık
2011-04-23   ,8.83                        ,2.16                         ,           70.98 ,                          8.87 ,                 29.73 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-04-24   ,9.49                        ,4.8                          ,           73.53 ,                          5.55 ,                 29.76 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-04-25   ,9.63                        ,5.46                         ,           75.85 ,                         12.13 ,                 29.77 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-04-26   ,10.04                       ,5.21                         ,           71.56 ,                         10.47 ,                 29.02 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-04-27   ,10.11                       ,7.83                         ,           86.47 ,                          5.15 ,                 29.58 ,Değişken           ,Çoğunlukla Bulutlu
2011-04-28   ,11.21                       ,9.53                         ,           90.19 ,                          5.91 ,                 29.49 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-04-29   ,11.61                       ,8.36                         ,           81.83 ,                          5.15 ,                 29.43 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-04-30   ,12.41                       ,9.2                          ,           80.43 ,                          3.79 ,                 28.84 ,Güneybatı-Güney    ,Çoğunlukla Bulutlu
2011-05-01   ,15.69                       ,8.98                         ,           69.0  ,                          4.96 ,                 29.46 ,Değişken           ,Çoğunlukla Bulutlu
2011-05-02   ,17.8                        ,11.69                        ,           68.1  ,                          5.92 ,                 29.42 ,Değişken           ,Çoğunlukla Bulutlu
2011-05-03   ,18.09                       ,12.71                        ,           72.88 ,                          3.12 ,                 29.44 ,Değişken           ,Çoğunlukla Bulutlu
2011-05-04   ,15.24                       ,13.0                         ,           87.52 ,                          5.71 ,                 29.33 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2011-05-05   ,11.28                       ,9.67                         ,           91.3  ,                          6.62 ,                 29.6  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-06   ,10.56                       ,7.0                          ,           79.44 ,                         12.21 ,                 29.85 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-07   ,10.39                       ,1.66                         ,           66.13 ,                          5.98 ,                 29.85 ,Kuzeydoğu-Kuzey    ,Açık
2011-05-08   ,11.3                        ,5.22                         ,           68.73 ,                          8.46 ,                 29.69 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-05-09   ,11.3                        ,6.61                         ,           74.08 ,                          9.5  ,                 29.76 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-10   ,11.06                       ,5.27                         ,           70.32 ,                          8.3  ,                 29.73 ,Kuzeydoğu          ,Parçalı Bulutlu
2011-05-11   ,11.81                       ,7.38                         ,           75.49 ,                         12.4  ,                 29.6  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-12   ,11.45                       ,7.99                         ,           80.7  ,                         11.55 ,                 29.53 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-13   ,12.71                       ,9.54                         ,           82.23 ,                          5.54 ,                 29.63 ,Kuzey              ,Çoğunlukla Bulutlu
2011-05-14   ,14.98                       ,10.42                        ,           75.75 ,                          5.1  ,                 29.68 ,Güney              ,Açık
2011-05-15   ,16.32                       ,10.21                        ,           71.15 ,                          4.13 ,                 29.68 ,Kuzeydoğu          ,Açık
2011-05-16   ,20.44                       ,4.72                         ,           39.83 ,                          3.47 ,                 29.65 ,Değişken           ,Açık
2011-05-17   ,18.89                       ,8.34                         ,           53.25 ,                         10.4  ,                 29.67 ,Kuzeydoğu-Kuzey    ,Açık
2011-05-18   ,14.62                       ,10.69                        ,           77.46 ,                          8.58 ,                 29.7  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-19   ,15.09                       ,11.89                        ,           80.6  ,                          4.25 ,                 29.66 ,Değişken           ,Çoğunlukla Bulutlu
2011-05-20   ,15.53                       ,12.53                        ,           82.96 ,                          4.81 ,                 29.67 ,Batı-Güneybatı     ,Çoğunlukla Bulutlu
2011-05-21   ,17.18                       ,12.89                        ,           77.79 ,                          5.56 ,                 29.69 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-05-22   ,18.57                       ,11.71                        ,           66.65 ,                          6.94 ,                 29.71 ,Kuzeydoğu-Kuzey    ,Açık
2011-05-23   ,18.31                       ,11.96                        ,           68.19 ,                         12.54 ,                 29.74 ,Kuzeydoğu-Kuzey    ,Açık
2011-05-24   ,19.09                       ,12.65                        ,           68.65 ,                         14.17 ,                 29.73 ,Kuzeydoğu-Kuzey    ,Açık
2011-05-25   ,19.34                       ,13.4                         ,           70.77 ,                         14.35 ,                 29.67 ,Kuzeydoğu-Kuzey    ,Açık
2011-05-26   ,19.63                       ,13.77                        ,           72.44 ,                         13.73 ,                 29.69 ,Kuzeydoğu-Kuzey    ,Açık
2011-05-27   ,18.54                       ,14.01                        ,           75.65 ,                         13.48 ,                 29.67 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-05-28   ,17.06                       ,14.65                        ,           86.67 ,                          9.08 ,                 29.55 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-29   ,17.56                       ,13.96                        ,           80.56 ,                          7.33 ,                 29.55 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-30   ,18.37                       ,13.21                        ,           74.65 ,                          5.58 ,                 29.65 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-05-31   ,18.68                       ,14.82                        ,           79.33 ,                          8.38 ,                 29.65 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-06-01   ,19.24                       ,14.79                        ,           76.68 ,                          7.32 ,                 29.63 ,Kuzeydoğu          ,Parçalı Bulutlu
2011-06-02   ,19.66                       ,14.5                         ,           74.04 ,                          5.53 ,                 29.62 ,Kuzeydoğu          ,Parçalı Bulutlu
2011-06-03   ,20.35                       ,14.93                        ,           72.85 ,                          7.11 ,                 29.65 ,Kuzeydoğu-Kuzey    ,Açık
2011-06-04   ,21.47                       ,14.19                        ,           66.98 ,                          7.93 ,                 29.65 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-06-05   ,21.78                       ,13.16                        ,           62.78 ,                          8.3  ,                 29.61 ,Kuzeydoğu-Kuzey    ,Açık
2011-06-06   ,21.63                       ,14.62                        ,           67.07 ,                         11.22 ,                 29.62 ,Kuzeydoğu-Kuzey    ,Açık
2011-06-07   ,21.25                       ,12.9                         ,           61.6  ,                         11.93 ,                 29.61 ,Kuzeydoğu-Kuzey    ,Açık
2011-06-08   ,22.09                       ,12.79                        ,           60.72 ,                          5.15 ,                 29.6  ,Güneybatı          ,Açık
2011-06-09   ,26.51                       ,13.8                         ,           48.28 ,                          7.39 ,                 29.43 ,Batı-Güneybatı     ,Açık
2011-06-10   ,22.08                       ,13.85                        ,           60.54 ,                          7.37 ,                 29.33 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-06-11   ,19.52                       ,14.64                        ,           73.85 ,                          8.28 ,                 29.38 ,Batı               ,Çoğunlukla Bulutlu
2011-06-12   ,20.2                        ,16.22                        ,           77.89 ,                          6.17 ,                 29.45 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-06-13   ,20.5                        ,15.01                        ,           72.46 ,                          8.5  ,                 29.49 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-06-14   ,19.28                       ,16.2                         ,           82.87 ,                          5.83 ,                 29.56 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-06-15   ,20.9                        ,15.81                        ,           74.75 ,                          8.85 ,                 29.63 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-06-16   ,19.75                       ,16.91                        ,           83.27 ,                          7.75 ,                 29.65 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-06-17   ,20.64                       ,17.18                        ,           81.5  ,                          6.98 ,                 29.65 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-06-18   ,21.48                       ,17.27                        ,           78.4  ,                          6.92 ,                 29.62 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-06-19   ,22.36                       ,17.39                        ,           74.62 ,                          4.85 ,                 29.54 ,Kuzeydoğu-Kuzey    ,Açık
2011-06-20   ,22.99                       ,17.18                        ,           71.62 ,                          8.12 ,                 29.55 ,Kuzeydoğu-Kuzey    ,Açık
2011-06-21   ,22.56                       ,15.58                        ,           67.09 ,                         10.34 ,                 29.74 ,Kuzeydoğu-Kuzey    ,Açık
2011-06-22   ,22.3                        ,12.99                        ,           58.51 ,                         12.78 ,                 29.77 ,Kuzeydoğu          ,Açık
2011-06-23   ,22.4                        ,12.9                         ,           58.72 ,                         13.76 ,                 29.69 ,Kuzeydoğu          ,Açık
2011-06-24   ,21.91                       ,14.66                        ,           63.67 ,                         12.48 ,                 28.94 ,Kuzeydoğu-Kuzey    ,Açık
2011-06-25   ,21.91                       ,15.67                        ,           69.65 ,                          7.69 ,                 29.48 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-06-26   ,19.46                       ,10.84                        ,           59.21 ,                         11.83 ,                 29.58 ,Kuzey              ,Çoğunlukla Bulutlu
2011-06-27   ,18.17                       ,8.45                         ,           56.26 ,                          4.47 ,                 29.57 ,Değişken           ,Parçalı Bulutlu
2011-06-28   ,19.79                       ,7.52                         ,           47.15 ,                          5.58 ,                 29.47 ,Değişken           ,Açık
2011-06-29   ,19.38                       ,9.94                         ,           55.58 ,                          4.69 ,                 29.43 ,Batı-Güneybatı     ,Parçalı Bulutlu
2011-06-30   ,21.93                       ,10.74                        ,           51.85 ,                          4.54 ,                 29.49 ,Batı-Güneybatı     ,Parçalı Bulutlu
2011-07-01   ,23.62                       ,12.66                        ,           52.46 ,                          6.04 ,                 29.45 ,Batı-Güneybatı     ,Açık
2011-07-02   ,21.87                       ,16.47                        ,           72.94 ,                          4.81 ,                 29.5  ,Değişken           ,Çoğunlukla Bulutlu
2011-07-03   ,24.1                        ,13.21                        ,           53.77 ,                          6.88 ,                 29.46 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-04   ,21.73                       ,16.49                        ,           72.26 ,                          8.87 ,                 29.52 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-07-05   ,23.03                       ,11.92                        ,           53.88 ,                          3.77 ,                 29.55 ,Değişken           ,Açık
2011-07-06   ,24.59                       ,12.73                        ,           50.55 ,                          6.66 ,                 29.43 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-07   ,24.02                       ,14.58                        ,           60.33 ,                          7.08 ,                 29.56 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-08   ,23.78                       ,13.24                        ,           54.56 ,                          9.54 ,                 29.66 ,Kuzeydoğu          ,Açık
2011-07-09   ,23.94                       ,16.49                        ,           66.38 ,                         12.69 ,                 29.72 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-10   ,24.14                       ,16.8                         ,           67.26 ,                         12.37 ,                 29.68 ,Kuzeydoğu          ,Açık
2011-07-11   ,24.53                       ,18.12                        ,           70.09 ,                         12.62 ,                 29.59 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-12   ,25.09                       ,18.45                        ,           69.11 ,                         12.7  ,                 29.55 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-13   ,24.76                       ,18.96                        ,           72.64 ,                         10.91 ,                 29.54 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-14   ,24.88                       ,19.46                        ,           73.91 ,                          8.76 ,                 29.57 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-07-15   ,25.5                        ,17.39                        ,           65.45 ,                          8.6  ,                 29.61 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-16   ,25.67                       ,16.05                        ,           60.64 ,                          6.89 ,                 29.55 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-17   ,26.68                       ,14.78                        ,           51.57 ,                          8.31 ,                 29.42 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-18   ,26.15                       ,19.48                        ,           69.33 ,                          9.15 ,                 29.36 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-19   ,25.86                       ,18.28                        ,           65.03 ,                          5.0  ,                 29.42 ,Kuzeydoğu          ,Açık
2011-07-20   ,23.06                       ,16.07                        ,           59.6  ,                          6.36 ,                 29.35 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-21   ,27.16                       ,17.6                         ,           57.81 ,                          9.35 ,                 29.22 ,Değişken           ,Açık
2011-07-22   ,25.85                       ,13.18                        ,           50.8  ,                          7.28 ,                 29.41 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-23   ,25.91                       ,13.49                        ,           48.28 ,                         10.59 ,                 29.47 ,Kuzeydoğu          ,Açık
2011-07-24   ,26.38                       ,15.52                        ,           53.71 ,                         11.81 ,                 29.33 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-25   ,26.1                        ,20.8                         ,           73.04 ,                          8.83 ,                 29.3  ,Kuzeydoğu-Kuzey    ,Açık
2011-07-26   ,28.19                       ,16.92                        ,           57.74 ,                          5.7  ,                 29.49 ,Batı-Güneybatı     ,Açık
2011-07-27   ,28.23                       ,14.9                         ,           46.48 ,                          5.75 ,                 29.66 ,Değişken           ,Açık
2011-07-28   ,26.67                       ,17.68                        ,           60.58 ,                         13.24 ,                 29.62 ,Kuzeydoğu-Kuzey    ,Açık
2011-07-29   ,26.75                       ,21.04                        ,           71.33 ,                         13.4  ,                 29.39 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-07-30   ,26.93                       ,21.11                        ,           72.16 ,                          6.36 ,                 29.37 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-07-31   ,25.57                       ,18.24                        ,           64.98 ,                         12.72 ,                 29.46 ,Kuzeydoğu-Kuzey    ,Açık
2011-08-01   ,25.57                       ,15.87                        ,           57.68 ,                         11.48 ,                 29.46 ,Kuzeydoğu-Kuzey    ,Açık
2011-08-02   ,24.94                       ,16.72                        ,           62.13 ,                         11.13 ,                 29.52 ,Kuzeydoğu-Kuzey    ,Açık
2011-08-03   ,24.79                       ,16.94                        ,           63.8  ,                          9.75 ,                 29.6  ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-08-04   ,24.54                       ,15.67                        ,           61.33 ,                         10.8  ,                 29.6  ,Kuzeydoğu          ,Açık
2011-08-05   ,24.49                       ,14.48                        ,           56.04 ,                         15.61 ,                 29.59 ,Kuzeydoğu          ,Açık
2011-08-06   ,23.42                       ,14.99                        ,           61.34 ,                         14.72 ,                 29.6  ,Kuzeydoğu          ,Parçalı Bulutlu
2011-08-07   ,23.3                        ,15.87                        ,           64.85 ,                         11.11 ,                 29.59 ,Kuzeydoğu          ,Parçalı Bulutlu
2011-08-08   ,23.31                       ,14.0                         ,           59.58 ,                         12.36 ,                 29.6  ,Kuzeydoğu          ,Açık
2011-08-09   ,23.41                       ,15.96                        ,           65.89 ,                         10.49 ,                 29.51 ,Kuzeydoğu-Kuzey    ,Açık
2011-08-10   ,23.65                       ,17.73                        ,           71.15 ,                         10.46 ,                 29.43 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-08-11   ,20.78                       ,17.15                        ,           79.85 ,                         10.07 ,                 29.42 ,Kuzey              ,Çoğunlukla Bulutlu
2011-08-12   ,19.9                        ,15.99                        ,           78.05 ,                         11.09 ,                 29.46 ,Batı-Kuzeybatı     ,Çoğunlukla Bulutlu
2011-08-13   ,21.63                       ,15.31                        ,           68.55 ,                          4.72 ,                 29.46 ,Kuzey              ,Parçalı Bulutlu
2011-08-14   ,23.3                        ,15.16                        ,           62.69 ,                          5.78 ,                 29.48 ,Kuzeydoğu          ,Açık
2011-08-15   ,23.79                       ,15.42                        ,           62.75 ,                          7.8  ,                 29.53 ,Kuzeydoğu-Kuzey    ,Açık
2011-08-16   ,24.08                       ,15.25                        ,           61.16 ,                          8.95 ,                 29.55 ,Kuzeydoğu-Kuzey    ,Açık
